City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs),Country,Date
500,Luwuk,-0.95,122.79,86.79,67,91,8.08,light rain,0.5,0.0,ID,2020-02-22 06:37:18
501,Newport,51.59,-3.0,53.01,93,90,17.22,light rain,0.0,0.0,GB,2020-02-22 06:37:18
502,Zhicheng,30.3,111.5,64.53,42,20,8.66,few clouds,0.0,0.0,CN,2020-02-22 06:37:21
503,Cadillac,44.25,-85.4,33.8,63,1,12.75,clear sky,0.0,0.0,US,2020-02-22 06:35:37
504,Puerto Escondido,15.85,-97.07,72.55,48,0,7.63,clear sky,0.0,0.0,MX,2020-02-22 06:37:23
505,Hienghene,-20.68,164.93,81.12,71,0,12.28,clear sky,0.0,0.0,NC,2020-02-22 06:37:25
506,Suluq,31.67,20.25,49.93,73,33,7.87,scattered clouds,0.0,0.0,LY,2020-02-22 06:37:26
507,Hay River,60.82,-115.8,8.6,84,20,8.3,few clouds,0.0,0.0,CA,2020-02-22 06:37:26
508,Ambatolampy,-19.38,47.42,68.0,88,75,6.93,broken clouds,0.0,0.0,MG,2020-02-22 06:37:27
509,Eureka,40.8,-124.16,48.99,87,90,4.7,mist,0.0,0.0,US,2020-02-22 06:35:20
510,Camana,-16.62,-72.71,68.63,84,98,2.71,overcast clouds,0.0,0.0,PE,2020-02-22 06:37:29
511,Shimoda,34.67,138.95,66.2,59,75,26.4,broken clouds,0.0,0.0,JP,2020-02-22 06:37:30
512,Vila,42.03,-8.16,50.0,76,0,2.24,clear sky,0.0,0.0,PT,2020-02-22 06:37:31
513,Paris,48.85,2.35,42.8,80,42,10.29,scattered clouds,0.0,0.0,FR,2020-02-22 06:37:02
514,Talnakh,69.49,88.4,10.4,85,76,4.47,broken clouds,0.0,0.0,RU,2020-02-22 06:33:54
515,Mareeba,-17.0,145.43,82.0,94,75,9.17,light rain,0.0,0.0,AU,2020-02-22 06:37:48
