City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
256,Kajiado,KE,2020-02-21 04:22:32,-1.85,36.78,64.4,93,90,8.05
257,Kaohsiung,TW,2020-02-21 04:17:59,22.62,120.31,77.0,50,40,6.93
258,Portobelo,PA,2020-02-21 04:22:33,9.55,-79.65,78.8,83,20,2.24
259,Meulaboh,ID,2020-02-21 04:22:33,4.14,96.13,80.4,69,0,8.32
260,Altay,CN,2020-02-21 04:21:25,47.87,88.12,12.27,60,0,3.06
261,Khani,GE,2020-02-21 04:22:34,41.96,42.96,32.0,71,75,2.24
262,Yarke Pole,UA,2020-02-21 04:22:34,45.61,34.32,38.08,90,100,10.07
263,Padilla,CO,2020-02-21 04:22:35,3.22,-76.31,69.8,94,75,5.82
264,Khasan,RU,2020-02-21 04:22:35,42.43,130.64,32.32,77,100,3.15
265,Esperance,AU,2020-02-21 04:22:36,-33.87,121.9,77.0,38,0,12.75
266,Stokmarknes,NO,2020-02-21 04:20:38,68.56,14.91,35.01,91,100,10.0
267,Belaya Gora,RU,2020-02-21 04:22:37,68.53,146.42,-7.74,89,99,5.5
268,Homer,US,2020-02-21 04:22:37,59.64,-151.55,35.6,96,90,3.71
269,Vallenar,CL,2020-02-21 04:22:38,-28.57,-70.76,57.07,95,26,2.8
270,Lac Du Bonnet,CA,2020-02-21 04:22:38,50.25,-96.06,18.0,84,0,11.99
271,Deputatskiy,RU,2020-02-21 04:21:25,69.3,139.9,-3.69,93,99,2.71
272,Kailua,US,2020-02-21 04:22:39,21.4,-157.74,78.8,77,90,9.17
273,Lewistown,US,2020-02-21 04:22:39,40.6,-77.57,28.0,49,1,8.05
274,Narsaq,GL,2020-02-21 04:22:40,60.92,-46.05,30.2,28,100,12.75
275,Ilhabela,BR,2020-02-21 04:19:48,-23.78,-45.36,80.49,85,98,1.7
276,Salinas,US,2020-02-21 04:20:04,36.68,-121.66,57.99,54,1,4.7
277,Coihaique,CL,2020-02-21 04:22:41,-45.58,-72.07,46.4,81,0,2.24
278,Port Hardy,CA,2020-02-21 04:22:42,50.7,-127.42,33.8,80,20,4.25
279,Sitka,US,2020-02-21 04:20:46,57.05,-135.33,42.8,81,90,11.41
280,Santa Cruz,BO,2020-02-21 04:22:43,-17.8,-63.17,77.0,88,75,13.87
281,Yatou,CN,2020-02-21 04:22:40,37.15,122.38,52.0,52,100,13.31
282,Hammerfest,NO,2020-02-21 04:22:44,70.66,23.68,26.6,86,75,33.33
283,Kurya,RU,2020-02-21 04:22:44,51.6,82.29,22.57,77,100,7.58
284,Jumla,NP,2020-02-21 04:22:45,29.27,82.18,36.9,49,100,3.2
285,Avera,US,2020-02-21 04:22:45,33.19,-82.53,41.0,80,90,9.17
286,Riyadh,SA,2020-02-21 04:22:46,24.69,46.72,51.8,57,0,2.24
287,Fare,PF,2020-02-21 04:22:46,-16.7,-151.02,82.98,77,26,17.38
288,Ha Tinh,VN,2020-02-21 04:22:47,18.33,105.9,71.04,82,46,2.28
289,Mogadishu,SO,2020-02-21 04:22:47,2.04,45.34,81.34,81,75,17.38
290,Nikolskoye,RU,2020-02-21 04:22:48,59.7,30.79,34.0,91,75,4.47
291,Tuatapere,NZ,2020-02-21 04:22:48,-46.13,167.68,60.01,78,100,24.0
292,Moen,NO,2020-02-21 04:22:49,69.13,18.61,30.2,92,100,19.46
